CD_PACOTE,CD_ITEM,CD_PREST,TP_ACOMODACAO,DT_INI_VIGENCIA,IND_ABRANG_GEOGR,NR_IDADE_MIN,NR_IDADE_MAX,FG_PACOTE_A1200,FG_CIRURGICO,ID_ORIGEM
88000003,99999919,,9,01/01/2019,1,,,S,,1222068
88000003,40403262,,9,01/01/2019,1,,,S,,1222068
88000003,40403289,,9,01/01/2019,1,,,S,,1222068
88000003,40403890,,9,01/01/2019,1,,,S,,1222068
88000004,40401014,,9,01/01/2019,1,,,S,,1222069
88000004,40402061,,9,01/01/2019,1,,,S,,1222069
88000004,40403300,,9,01/01/2019,1,,,S,,1222069
88000004,40403424,,9,01/01/2019,1,,,S,,1222069
88000004,40403440,,9,01/01/2019,1,,,S,,1222069
88000004,40403467,,9,01/01/2019,1,,,S,,1222069
88000004,40403483,,9,01/01/2019,1,,,S,,1222069
88000004,40403505,,9,01/01/2019,1,,,S,,1222069
88000004,40403602,,9,01/01/2019,1,,,S,,1222069
88000004,40403661,,9,01/01/2019,1,,,S,,1222069
88000004,40402029,,9,01/01/2019,1,,,S,,1222069
88000004,99999919,,9,01/01/2019,1,,,S,,1222069
88000004,40403262,,9,01/01/2019,1,,,S,,1222069
88000004,40403289,,9,01/01/2019,1,,,S,,1222069
88000004,40403890,,9,01/01/2019,1,,,S,,1222069
88000006,40401014,,9,01/01/2019,1,,,S,,1222071
88000006,40402045,,9,01/01/2019,1,,,S,,1222071
88000006,40403424,,9,01/01/2019,1,,,S,,1222071
88000006,40403440,,9,01/01/2019,1,,,S,,1222071
88000006,40403467,,9,01/01/2019,1,,,S,,1222071
88000006,40403483,,9,01/01/2019,1,,,S,,1222071
88000006,40403505,,9,01/01/2019,1,,,S,,1222071
88000006,40403602,,9,01/01/2019,1,,,S,,1222071
88000006,40403661,,9,01/01/2019,1,,,S,,1222071
88000006,99999919,,9,01/01/2019,1,,,S,,1222071
88000006,40403262,,9,01/01/2019,1,,,S,,1222071
88000006,40403289,,9,01/01/2019,1,,,S,,1222071
88000006,40403890,,9,01/01/2019,1,,,S,,1222071
88000007,40401014,,9,01/01/2019,1,,,S,,1222072
88000007,40402088,,9,01/01/2019,1,,,S,,1222072
88000007,40403424,,9,01/01/2019,1,,,S,,1222072
88000007,40403440,,9,01/01/2019,1,,,S,,1222072
88000007,40403467,,9,01/01/2019,1,,,S,,1222072
88000007,40403483,,9,01/01/2019,1,,,S,,1222072
88000007,40403505,,9,01/01/2019,1,,,S,,1222072
88000007,40403602,,9,01/01/2019,1,,,S,,1222072
88000007,40403661,,9,01/01/2019,1,,,S,,1222072
88000007,99999919,,9,01/01/2019,1,,,S,,1222072
88000007,40403262,,9,01/01/2019,1,,,S,,1222072
88000007,40403289,,9,01/01/2019,1,,,S,,1222072
88000008,40401014,,9,01/01/2019,1,,,S,,1222073
88000009,40401014,,9,01/01/2019,1,,,S,,1222074
88000011,40401014,,9,27/04/2021,1,,,S,,1803664
88000009,40402045,,9,01/01/2019,1,,,S,,1222074
88000008,40402045,,9,01/01/2019,1,,,S,,1222073
88000008,40402088,,9,01/01/2019,1,,,S,,1222073
88000009,40402088,,9,01/01/2019,1,,,S,,1222074
88000009,40403424,,9,01/01/2019,1,,,S,,1222074
88000008,40403424,,9,01/01/2019,1,,,S,,1222073
88000011,40403424,,9,27/04/2021,1,,,S,,1803664
88000011,40403440,,9,27/04/2021,1,,,S,,1803664
88000008,40403440,,9,01/01/2019,1,,,S,,1222073
88000009,40403440,,9,01/01/2019,1,,,S,,1222074
88000009,40403467,,9,01/01/2019,1,,,S,,1222074
88000008,40403467,,9,01/01/2019,1,,,S,,1222073
88000011,40403467,,9,27/04/2021,1,,,S,,1803664
88000011,40403483,,9,27/04/2021,1,,,S,,1803664
88000008,40403483,,9,01/01/2019,1,,,S,,1222073
88000009,40403483,,9,01/01/2019,1,,,S,,1222074
88000009,40403505,,9,01/01/2019,1,,,S,,1222074
88000008,40403505,,9,01/01/2019,1,,,S,,1222073
88000011,40403505,,9,27/04/2021,1,,,S,,1803664
88000011,40403602,,9,27/04/2021,1,,,S,,1803664
88000008,40403602,,9,01/01/2019,1,,,S,,1222073
88000009,40403602,,9,01/01/2019,1,,,S,,1222074
88000009,40403661,,9,01/01/2019,1,,,S,,1222074
88000008,40403661,,9,01/01/2019,1,,,S,,1222073
88000011,40403661,,9,27/04/2021,1,,,S,,1803664
88000011,40402070,,9,27/04/2021,1,,,S,,1803664
87000033,99999919,,9,01/01/2019,1,,,S,,1782960
87000037,99999919,,9,01/01/2019,1,,,S,,1782969
85009002,99999919,,9,01/01/2019,1,,,S,,1782970
85003015,99999919,,9,01/09/2020,1,,,S,,1919826
85003014,99999919,,9,01/04/2022,1,,,S,,2057760
85003016,99999919,,9,01/02/2023,1,,,S,,2162363
88000008,99999919,,9,01/01/2019,1,,,S,,1222073
88000009,99999919,,9,01/01/2019,1,,,S,,1222074
87000024,99999919,,9,01/01/2020,1,,,S,,1760722
87000027,99999919,,9,01/01/2020,1,,,S,,1760723
86000015,99999919,,9,01/01/2020,1,,,S,,1760728
85003008,99999919,,9,01/10/2020,1,,,S,,1782847
85003007,99999919,,9,01/10/2020,1,,,S,,1782848
85003009,99999919,,9,01/10/2020,1,,,S,,1782849
85003010,99999919,,9,01/10/2020,1,,,S,,1782850
85003011,99999919,,9,01/10/2020,1,,,S,,1782851
85003012,99999919,,9,01/10/2020,1,,,S,,1782852
85003013,99999919,,9,01/10/2020,1,,,S,,1782853
85009004,99999919,,9,01/12/2020,1,,,S,,1782889
87000029,99999919,,9,01/09/2020,1,,,S,,1782892
87000030,99999919,,9,01/09/2020,1,,,S,,1782893
87000031,99999919,,9,01/09/2020,1,,,S,,1782895
87000032,99999919,,9,01/09/2020,1,,,S,,1782896
87000039,99999919,,9,01/09/2020,1,,,S,,1782902
