CD_PLANO,CD_MUNIC,TP_SITUACAO,ID_ORIGEM
164440745,3168101,I,2728
164440843,3104007,I,2702
164440843,3111507,I,2697
164440843,3129509,I,2696
164440843,3149200,I,2701
164440843,3149804,I,2698
164440843,3153004,I,2699
164440843,3168101,I,2700
164440845,3104007,I,2821
164440845,3111507,I,2816
164440845,3129509,I,2815
164440845,3149200,I,2820
164440845,3149804,I,2817
164440845,3153004,I,2818
164440845,3168101,I,2819
164440945,3104007,I,2947
164440945,3111507,I,2942
164440945,3129509,I,2941
164440945,3149200,I,2946
164440945,3149804,I,2943
164440945,3153004,I,2944
164440945,3168101,I,2945
164441045,3104007,I,2464
164441045,3111507,I,2459
164441045,3129509,I,2458
164441045,3149200,I,2463
164441045,3149804,I,2460
164441045,3153004,I,2461
164441045,3168101,I,2462
164441145,3104007,I,2387
164441145,3111507,I,2382
164441145,3129509,I,2381
164441145,3149200,I,2386
164441145,3149804,I,2383
164441145,3153004,I,2384
164441145,3168101,I,2385
164441243,3104007,I,2366
164441243,3111507,I,2361
164441243,3129509,I,2360
164441243,3149200,I,2365
164441243,3149804,I,2362
164441243,3153004,I,2363
164441243,3168101,I,2364
164441245,3104007,I,2457
164441245,3111507,I,2452
164441245,3129509,I,2451
164441245,3149200,I,2456
164441245,3149804,I,2453
164441245,3153004,I,2454
164441245,3168101,I,2455
1644510L6,3104007,I,2429
1644510L6,3111507,I,2424
1644510L6,3129509,I,2423
1644510L6,3149200,I,2428
1644510L6,3149804,I,2425
1644510L6,3153004,I,2426
1644510L6,3168101,I,2427
1644510L7,3104007,I,2590
1644510L7,3111507,I,2585
1644510L7,3129509,I,2584
1644510L7,3149200,I,2589
1644510L7,3149804,I,2586
1644510L7,3153004,I,2587
1644510L7,3168101,I,2588
1644512L7,3104007,I,2884
1644512L7,3111507,I,2879
1644512L7,3129509,I,2878
1644512L7,3149200,I,2883
1644512L7,3149804,I,2880
1644512L7,3153004,I,2881
1644512L7,3168101,I,2882
16475011,3106200,I,6
16475011,3170107,I,4
16475011,3170206,I,5
16475019,3106200,I,9
16475019,3170107,I,7
16475019,3170206,I,8
1647501A,3106200,I,12
1647501A,3170107,I,10
1647501A,3170206,I,11
1647501A1,3106200,I,15
1647501A1,3170107,I,13
1647501A1,3170206,I,14
1647501AA,3106200,I,18
1647501AA,3170107,I,16
1647501AA,3170206,I,17
1647501B,3106200,I,21
1647501B,3170107,I,19
1647501B,3170206,I,20
1647501BB,3106200,I,24
1647501BB,3170107,I,22
1647501BB,3170206,I,23
1647501C,3106200,I,27
1647501C,3170107,I,25
1647501C,3170206,I,26
1647501CC,3106200,I,30
1647501CC,3170206,I,29
1647501CC,3170107,I,28
1647501D,3106200,I,33
1647501D,3170206,I,32
1647501D,3170107,I,31
1647501DD,3106200,I,36
1647501DD,3170107,I,34
1647501DD,3170206,I,35
1647501E,3106200,I,39
1647501E,3170107,I,37
1647501E,3170206,I,38
1647501E1,3106200,I,42
1647501E1,3170107,I,40
1647501E1,3170206,I,41
1647501EE,3106200,I,45
1647501EE,3170107,I,43
1647501EE,3170206,I,44
1647501F,3106200,I,48
1647501F,3170107,I,46
1647501F,3170206,I,47
1647501FF,3106200,I,51
1647501FF,3170107,I,49
1647501FF,3170206,I,50
1647501G,3106200,I,54
1647501G,3170107,I,52
1647501G,3170206,I,53
1647501GG,3106200,I,57
1647501GG,3170206,I,56
1647501GG,3170107,I,55
1647501H,3106200,I,60
1647501H,3170107,I,58
1647501H,3170206,I,59
1647501HH,3106200,I,63
1647501HH,3170107,I,61
1647501HH,3170206,I,62
1647501I,3106200,I,66
1647501I,3170107,I,64
1647501I,3170206,I,65
1647501J,3106200,I,69
