CD_GRUPO,CD_ITEM,ID_ORIGEM
29441,79970613,7712
29441,79970796,7729
29441,79970966,7743
29441,79970974,7744
29441,79970982,7745
29441,79970990,7746
29441,79971164,7759
29441,79971172,7760
29441,79971180,7761
29441,79971199,7762
29441,79971393,7776
29441,79971407,7777
29441,79971415,7778
29441,79971423,7779
29441,79971636,7793
29441,70012024,33950
29441,70012199,33967
29441,70012830,34031
29441,70012857,34033
29441,70013020,34050
29441,70013039,34051
29441,70025231,34234
29441,70043434,35020
29441,70050333,35304
29441,70050341,35305
29441,70051232,35335
29441,70051240,35336
29441,70053170,35469
29441,70084122,37207
29441,70087687,37307
29441,70087725,37308
29441,70087741,37309
29441,70087750,37310
29441,70089809,37443
29440,60000503,132468
29440,60000619,132487
29440,60000635,132503
29440,60001216,132535
29440,60001038,132588
29441,70013470,228417
29441,70850232,229350
29441,70850348,229351
29441,70014213,229701
29441,70014230,229702
29441,70014329,229704
29441,70272948,230471
29441,70765588,230473
29441,70705348,230487
29441,70014248,235469
29441,70241856,236104
29441,70242372,236105
29441,70261849,236153
29441,70243298,236155
29441,70258392,236169
29441,70261997,236171
29441,70262101,236187
29441,70704880,236202
29441,70865167,236589
29441,70138958,236636
29441,70089795,236740
29441,70777730,237289
29441,70775800,237406
29441,70713766,237422
29441,70713774,237424
29441,79969186,237874
29441,79969208,237875
29441,79970222,237892
29441,79970230,237893
29441,79970907,237907
29441,70963770,268357
29441,70963789,268358
29441,70963797,268359
29441,70963800,268360
29441,70971315,268390
29441,70971323,268391
29441,70971331,268392
29441,70971340,268393
29441,70973040,268407
29441,70973059,268408
29441,70973067,268409
29441,70973075,268410
29441,70973229,268424
29441,70973237,268425
29441,70973245,268426
29441,70973253,268427
29441,71001794,268724
29441,71001956,268725
29441,71002014,268726
29441,71002030,268727
29441,71002065,268728
29441,71002456,268741
29441,71002480,268742
29441,71002510,268743
29441,71002529,268744
29441,71002995,268758
29441,71003002,268759
29441,71003070,268760
29441,71003100,268761
29441,71003339,268775
29441,71003355,268776
29441,71003363,268777
29441,71003371,268778
29441,71003738,268791
29441,71003754,268792
29441,71003770,268793
29441,71003800,268794
29441,71006931,268993
29441,71006940,268994
29441,71006958,268995
29441,71007725,269042
29441,71007733,269043
29441,71007741,269044
29441,71007750,269045
29441,71015990,269393
29441,71016031,269394
29441,71016040,269395
29441,71016066,269396
29441,71017330,269446
29441,71019669,269610
29441,71019677,269611
29441,71019685,269612
29441,71019693,269613
29441,71019855,269627
29441,71019871,269628
29441,71019880,269629
29441,71023313,269746
29441,71025324,269794
29441,71025332,269795
29441,71025340,269796
29441,71025359,269797
29441,71027475,269844
29441,71027556,269845
29441,71027580,269846
29441,71027599,269847
29441,71028005,269861
29441,71028021,269862
29441,71028030,269863
29441,71028048,269864
29441,71030271,269931
29441,71032460,269945
29441,71032509,269947
29441,71041028,270061
29441,71042679,270063
29441,71042806,270064
29441,71048294,270097
29441,71079050,270412
29441,71079068,270413
29441,71079076,270414
29441,71079084,270415
29441,71079092,270416
29441,71079483,270429
29441,71079700,270430
29441,71127402,271582
29441,71127410,271583
29441,71127429,271584
29441,71127437,271585
29441,71127607,271599
29441,71127615,271600
29441,71127623,271601
29441,71127704,271602
29441,71160337,273270
29441,71160345,273271
29441,71160353,273272
29441,71160361,273273
29441,71160949,273289
29441,71160965,273290
29441,71161201,273304
29441,71161210,273305
29441,71161228,273306
29441,71161236,273307
29441,71161619,273320
29441,71161627,273321
29441,71161635,273322
29441,71161643,273323
29441,71161651,273324
29441,71161783,273337
29441,71161791,273338
29441,71161805,273339
29441,71161813,273340
29441,71162305,273354
29441,71162313,273355
29441,71162321,273356
29441,71162402,273357
29441,71162550,273370
29441,71162569,273371
29441,71162577,273372
29441,71162585,273373
29441,71162593,273374
29441,71163441,273387
29441,71163468,273388
29441,71163476,273389
29441,71163484,273390
29441,71163980,273404
29441,71164014,273405
29441,71164022,273406
29441,71164030,273407
29441,71164235,273421
29441,71164243,273422
29441,71164251,273423
29441,71164260,273424
29441,71164391,273437
29441,71164405,273438
23201,30206103,23259
23201,30206170,23266
28082,30206251,23273
23201,30206278,23275
28999,30206359,23282
28887,30207061,23289
28887,30207088,23291
28887,30207100,23293
28887,30207150,23298
28887,30207177,23300
28915,30208033,23307
28915,30208050,23309
28915,30208106,23314
28915,30208122,23316
28929,30209021,23318
26998,30210119,23323
26844,30211018,23325
28852,30212065,23332
26861,30212081,23334
28852,30212138,23339
28852,30212154,23341
28852,30212170,23343
27222,30213053,23348
27209,30214025,23350
27636,30215080,23357
28808,30301084,23366
27896,30301114,23368
26802,30301173,23373
27896,30301190,23375
27896,30301262,23382
27890,30302021,23384
23359,30302099,23391
28808,30302129,23393
27822,30303060,23398
27830,30304016,23400
27841,30305039,23407
27846,30306019,23409
27852,30307031,23416
27852,30307058,23418
27852,30307112,23423
27865,30308020,23425
27877,30310024,23432
23430,30310040,23434
27887,30311012,23441
27887,30311047,23443
23430,30312060,23448
27916,30312086,23450
27922,30313058,23457
26818,30401089,23466
23459,30402018,23468
27978,30402085,23473
27978,30403090,23482
27978,30403111,23484
27978,30404037,23491
27978,30404053,23493
27978,30404134,23500
28017,30501091,23507
28017,30501113,23509
26811,30501180,23516
28887,30501229,23518
28017,30501270,23523
28791,30501296,23525
28017,30501440,23532
28045,30502012,23534
26823,30502098,23541
28045,30502110,23543
26823,30502195,23548
28045,30502217,23550
28045,30502233,23552
29031,30601029,23559
29031,30601150,23566
28628,30601177,23568
27474,30602017,23573
27474,30602041,23575
27345,30602068,23577
27474,30602114,23582
27474,30602130,23584
23557,30602211,23591
28865,30602238,23593
27367,30701023,23600
27367,30701040,23602
27367,30701090,23607
27367,30701112,23609
27367,30701180,23616
27502,30701201,23618
27386,30702062,23625
27386,30702089,23627
27395,30703050,23632
27395,30703077,23634
27395,30703166,23641
27395,30703182,23643
27422,30705045,23650
27422,30705061,23652
27450,30706017,23657
27450,30706033,23659
28432,30709024,23677
28448,30711029,23682
28451,30712017,23684
28451,30712084,23691
28451,30712106,23693
28466,30713064,23700
28427,30714036,23707
28088,30715016,23709
28088,30715091,23716
28088,30715113,23718
28088,30715180,23725
27710,30715253,23732
28088,30715270,23734
23679,30715369,23741
28130,30717043,23750
28145,30717060,23752
28130,30717124,23757
28130,30717140,23759
28160,30718058,23766
28160,30718082,23768
28174,30719062,23775
28174,30719097,23777
27574,30720010,23782
28189,30720036,23784
28189,30720052,23786
28189,30720117,23791
28189,30720133,23793
27531,30721059,23800
28209,30721075,23802
27531,30721148,23807
27531,30721172,23809
